nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
"Combs, Kent and Higgins",Retail,Argentina,50000,BR-00432,2025-12-13,2026-06-28,Phishing,Alta,4732792,17005556.86,US-001440,user_underwooddavid_1439,ee5357817e6e13a85bb0dd8e5cc9432a,Chile,2018-01-12,Historial de Transacciones,Alta,2026-09-06
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00710,2022-02-02,2022-04-15,Insider Malicioso,Baja,2927473,16866548.09,US-007510,user_ricejacqueline_7509,cf83c94bdc7906211452b922f010e070,Brasil,2022-12-18,Numero de Identificacion,Alta,2022-05-12
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00350,2023-02-17,2023-06-21,Configuracion Erronea de Servidor,Alta,2746380,10443458.85,US-000612,user_popethomas_611,6c4ed7c57ac6e27e490729f94f0127fe,Mexico,2022-10-26,Numero de Tarjeta de Credito,Critica,2023-09-09
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00379,2022-05-13,2022-09-08,Inyeccion SQL,Media,3846204,2989681.43,US-000329,user_robertdennis_328,72c5603eb42c29e269e629936174e80e,Peru,2020-01-31,Nombre Completo,Baja,2022-10-09
Freeman-Martin,Educacion,Colombia,2500,BR-00738,2024-08-01,2024-11-25,Credenciales Filtradas de Terceros,Critica,286888,17143839.85,US-000252,user_grayerin_251,c4d56e4672a3b2456bc794ec3f843dd2,Espana,2020-11-07,Numero de Tarjeta de Credito,Critica,2024-11-29
Cruz-Schultz,Energia,Panama,50,BR-00131,2022-02-15,2022-09-28,Credenciales Filtradas de Terceros,Media,3326507,4371576.76,US-002160,user_samantha71_2159,4a48374e5575133c485006896f93e6b0,Chile,2017-04-15,Contrasena,Alta,2022-12-03
Kemp-Perez,Finanzas,Costa Rica,100,BR-00333,2024-12-04,2025-01-17,Configuracion Erronea de Servidor,Media,2069050,2173385.57,US-003597,user_ramirezbrenda_3596,5fcb9dd91b6eeb0a069df1e8d6400944,Argentina,2019-04-10,Direccion Fisica,Media,2025-01-21
Davis-Kelley,Energia,Colombia,250,BR-00121,2023-01-29,2023-05-16,Ransomware,Media,1759177,4194812.07,US-006213,user_vkim_6212,009aac406444ece51f5feff9f51523cb,Argentina,2024-06-17,Contrasena,Alta,2023-07-17
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00750,2022-09-09,2023-04-08,Explotacion de Vulnerabilidad Sin Parche,Critica,4277743,20475765.75,US-000691,user_michaelallen_690,34da53e4235e3f9847a45bb6f7b77173,Colombia,2019-01-30,Direccion Fisica,Media,2023-06-18
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00031,2025-12-06,2026-03-26,Explotacion de Vulnerabilidad Sin Parche,Alta,3570642,4790205.55,US-003385,user_michelepeters_3384,fc5792b40a671e1c0fd7f0c2a56bc710,Espana,2020-05-20,Correo Electronico,Media,2026-06-24
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00400,2024-02-25,2024-05-22,Configuracion Erronea de Servidor,Baja,3669769,2508503.98,US-002260,user_rbradley_2259,2dc7f32d917f0e07135d59f08c145deb,Estados Unidos,2017-11-27,Fecha de Nacimiento,Baja,2024-05-30
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00734,2025-02-03,2025-07-26,Insider Malicioso,Alta,1694775,7606559.37,US-002885,user_rebecca19_2884,418ebd024da186f33e3e621560b39f57,Costa Rica,2019-01-26,Fecha de Nacimiento,Baja,2025-09-19
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00503,2026-02-09,2026-09-22,Phishing,Alta,3307870,10639286.67,US-005485,user_jaimemorrison_5484,69d3d2cafc7e21e675720d542a8aac14,Chile,2021-09-04,Fecha de Nacimiento,Baja,2026-09-22
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00241,2021-11-08,2022-03-25,Credenciales Filtradas de Terceros,Critica,1035391,6334972.62,US-006409,user_walkerkimberly_6408,4856d9ee092c75d5b4caaa300f562831,Brasil,2020-04-01,Numero de Tarjeta de Credito,Critica,2022-04-17
Coleman Ltd,Turismo,Estados Unidos,50000,BR-00484,2022-10-22,2022-11-26,Explotacion de Vulnerabilidad Sin Parche,Alta,676951,18369945.42,US-001330,user_robertawoods_1329,66240e785bdeba7d642ae60d25582d67,Estados Unidos,2025-07-24,Numero de Tarjeta de Credito,Critica,2022-11-29
Hunt PLC,Finanzas,Ecuador,100,BR-00475,2022-06-29,2023-01-26,Inyeccion SQL,Media,3963080,24674330.56,US-002858,user_jessica53_2857,464c4bb6f816fe794a0c284ff5ed9b1e,Argentina,2023-05-12,Nombre Completo,Baja,2023-03-13
Adams LLC,Tecnologia,Mexico,2500,BR-00568,2024-04-12,2024-09-26,Explotacion de Vulnerabilidad Sin Parche,Critica,3223586,6137254.09,US-000375,user_daniel49_374,c112e71fcaa5cf1f4dca4ed13ef0f1d5,Espana,2022-10-31,Historial de Transacciones,Alta,2024-11-07
Vargas PLC,Gobierno,Brasil,100,BR-00152,2026-06-22,2026-09-22,Malware,Critica,3444665,4097531.09,US-002706,user_denise45_2705,6fcf2d82e24dba996a1856841c35fe6c,Uruguay,2017-10-02,Fecha de Nacimiento,Baja,2026-09-22
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00399,2026-09-07,2026-09-22,Inyeccion SQL,Media,4823057,10074592.12,US-007169,user_lyoung_7168,75a66f96c0dd965f7d492101c9ad227a,Estados Unidos,2023-12-23,Historial Medico,Critica,2026-09-22
Martinez Ltd,Retail,Estados Unidos,100,BR-00227,2025-03-20,2025-04-20,Insider Malicioso,Critica,4598837,23384325.61,US-006524,user_relliott_6523,27d17452dc0a87f91e9a19dad2645663,Chile,2022-05-05,Historial Medico,Critica,2025-07-02
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00102,2025-09-03,2026-02-21,Insider Malicioso,Baja,2508476,22760151.02,US-006367,user_lauraalexander_6366,f61b8bc6fff29fcddc3b14d8a386f9e0,Espana,2020-04-29,Fecha de Nacimiento,Baja,2026-04-15
Reed-Weiss,Gobierno,Uruguay,100,BR-00255,2021-12-31,2022-04-17,Malware,Critica,4096577,1274613.57,US-003807,user_nrice_3806,b8a5f1fe8f81e83959eda0e0ba323f7b,Argentina,2023-03-06,Numero de Identificacion,Alta,2022-05-06
Kemp-Perez,Finanzas,Costa Rica,100,BR-00445,2024-01-26,2024-03-29,Phishing,Baja,1596178,3922970.22,US-003126,user_davidrichardson_3125,0646900f1681f0007e7f02bb171a09ad,Espana,2025-12-02,Fecha de Nacimiento,Baja,2024-06-09
Reed Group,Salud,Colombia,25000,BR-00056,2025-05-26,2025-10-20,Insider Malicioso,Media,1443883,11740817.74,US-001748,user_xconley_1747,ccfa53ff5d4e8127f41581dfb95f016c,Espana,2025-06-14,Numero de Identificacion,Alta,2025-11-25
Hughes LLC,Tecnologia,Argentina,25000,BR-00114,2023-11-17,2024-06-04,Credenciales Filtradas de Terceros,Baja,860648,20218829.82,US-001613,user_tjacobs_1612,94f0966b5299a64bf7661495d64e91d8,Ecuador,2022-05-03,Contrasena,Alta,2024-07-23
Goodman PLC,Turismo,Ecuador,50000,BR-00532,2022-10-08,2023-01-12,Ataque de Fuerza Bruta,Media,4139318,19274283.26,US-007696,user_amarsh_7695,0b7416fb9ab1bd8b4d9debcaab4458a9,Argentina,2019-08-02,Fecha de Nacimiento,Baja,2023-02-25
Collins-Harris,Educacion,Peru,1000,BR-00770,2024-12-12,2025-03-11,Ransomware,Alta,98964,12950801.88,US-007311,user_donald14_7310,b9ab7fbec163e9b6e94c707ab43b7a45,Ecuador,2022-05-04,Numero de Tarjeta de Credito,Critica,2025-04-27
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00012,2024-08-31,2025-03-31,Ataque de Fuerza Bruta,Alta,2417136,7867840.32,US-001382,user_kpham_1381,ff539ecc453895797f74aed12976b37d,Brasil,2022-03-16,Numero Telefonico,Baja,2025-06-13
Hunt PLC,Finanzas,Ecuador,100,BR-00215,2023-01-03,2023-02-15,Ataque de Fuerza Bruta,Alta,4348560,14833703.34,US-004378,user_alexismoon_4377,3b6974f79ad2b6a90e36f2339b0bf3d7,Peru,2022-10-06,Nombre Completo,Baja,2023-02-19
Bonilla-Reynolds,Gobierno,Brasil,50,BR-00201,2025-09-04,2026-02-26,Inyeccion SQL,Media,2954735,3475591.71,US-007686,user_maldonadomichelle_7685,6d7e189e353a0b22a52bfc8699f7a586,Colombia,2021-10-02,Numero Telefonico,Baja,2026-05-24
Conrad PLC,Gobierno,Peru,50,BR-00531,2026-08-24,2026-09-22,Credenciales Filtradas de Terceros,Critica,4716044,24582952.74,US-007496,user_amanda04_7495,07c88dfd94866f5a2d6f84aec01c67a2,Estados Unidos,2022-06-26,Historial de Transacciones,Alta,2026-09-22
Freeman-Martin,Educacion,Colombia,2500,BR-00008,2025-07-07,2025-11-25,Ataque a Cadena de Suministro,Media,3780884,3420691.33,US-006273,user_qbyrd_6272,935761497066c2b4c80ed64310ded123,Uruguay,2017-02-10,Numero de Identificacion,Alta,2026-02-20
Hunt PLC,Finanzas,Ecuador,100,BR-00677,2022-05-02,2022-06-01,Ataque de Fuerza Bruta,Alta,981851,8048368.86,US-005108,user_whitetyler_5107,55eb44433a2fd81a892712d9554e4380,Mexico,2024-01-15,Historial Medico,Critica,2022-08-15
Shaw Group,Manufactura,Uruguay,25000,BR-00598,2026-06-30,2026-08-08,Malware,Critica,3274331,15565288.53,US-000829,user_dcompton_828,c00286d3923e191ea96ec7fe20ec49eb,Estados Unidos,2017-03-22,Correo Electronico,Media,2026-08-12
